case_id,existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,proxy_id,proxy_label,proxy_group,baseline_normalized_response_integral,retrofit_normalized_response_integral,relative_photocurrent_proxy_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,is_nominal_optical_case,maximum_tmm_physical_violation
30,1.25,80.0,1.08,0.0,125.0,1.15,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.4611149875465,1.0614026957717957,True,True,False,0.0
31,1.25,80.0,1.08,0.0,125.0,1.2,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.4338514442229,1.2287564996817237,True,True,False,0.0
31,1.25,80.0,1.08,0.0,125.0,1.2,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.758052495665,1.2289109304267958,True,True,False,0.0
31,1.25,80.0,1.08,0.0,125.0,1.2,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.3818368402646,1.2253777056372415,True,True,False,0.0
32,1.25,80.0,1.08,0.0,125.0,1.2,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.7015124295812,1.2760069168711778,True,True,False,0.0
32,1.25,80.0,1.08,0.0,125.0,1.2,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.0209403828683,1.2756182203050621,True,True,False,0.0
32,1.25,80.0,1.08,0.0,125.0,1.2,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.638840987152,1.2711485944207723,True,True,False,0.0
33,1.25,80.0,1.08,0.0,125.0,1.2,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.2227825768342,1.1914963363206992,True,True,False,0.0
33,1.25,80.0,1.08,0.0,125.0,1.2,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.5437507571114,1.1908359413867087,True,True,False,0.0
33,1.25,80.0,1.08,0.0,125.0,1.2,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.1639533062871,1.1865739621092724,True,True,False,0.0
34,1.25,80.0,1.08,0.0,125.0,1.25,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.981927080902,1.3255087493598028,True,True,False,0.0
34,1.25,80.0,1.08,0.0,125.0,1.25,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.2992769668185,1.3250702800731746,True,True,False,0.0
34,1.25,80.0,1.08,0.0,125.0,1.25,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.9161947862701,1.3205436335548568,True,True,False,0.0
35,1.25,80.0,1.08,0.0,125.0,1.25,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.9839974213694,1.3258742282908413,True,True,False,0.0
35,1.25,80.0,1.08,0.0,125.0,1.25,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.2962412709878,1.3245309280069562,True,True,False,0.0
35,1.25,80.0,1.08,0.0,125.0,1.25,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.9039762157718,1.3183675798290808,True,True,False,0.0
36,1.25,80.0,1.08,0.0,125.0,1.25,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.727175726119,1.1040064452299054,True,True,False,0.0
