active_refractive_index,active_thickness_nm,primer_refractive_index,primer_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,relative_gain_vs_baseline_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_energy_residual
1.12,116.73562789476563,1.25,50.0,831.4925288475491,99.45113152120751,4.047303305483865,0.48913247433779655,True,True,8.881784197001252e-16
1.12,116.73562789476563,1.25,75.0,829.9893513957581,99.27134313674064,2.54412585369289,0.30746758518380657,True,True,8.881784197001252e-16
1.12,135.0,1.15,30.0,831.8436628301043,99.49312909865907,4.3984372880390765,0.5315683929601055,True,True,9.992007221626409e-16
1.12,135.0,1.15,50.0,831.0592454980545,99.39930842252464,3.6140199559891926,0.4367684826051927,True,True,8.881784197001252e-16
1.12,135.0,1.15,75.0,830.25975770422,99.30368523533323,2.8145321621547055,0.34014724785086353,True,True,8.881784197001252e-16
1.12,135.0,1.2,30.0,832.2986995480969,99.54755402121464,4.853474006031661,0.5865613645727565,True,True,1.1102230246251565e-15
1.12,135.0,1.2,50.0,831.6728062381122,99.47269369988884,4.227580696046971,0.5109197038725376,True,True,9.992007221626409e-16
1.12,135.0,1.2,75.0,830.9617684676681,99.3876496274869,3.5165429256028347,0.42498800126608044,True,True,9.992007221626409e-16
1.12,135.0,1.25,30.0,832.3507286978238,99.55377699692747,4.905503155758538,0.5928492913286082,True,True,8.881784197001252e-16
1.12,135.0,1.25,50.0,831.2834720035693,99.42612715981552,3.8382464615040135,0.4638671350106046,True,True,9.992007221626409e-16
1.12,135.0,1.25,75.0,829.8907347668631,99.2595480393824,2.4455092247978882,0.2955493788964481,True,True,9.992007221626409e-16
