carrier_refractive_index,trial_number,retrofit_refractive_index,retrofit_thickness_nm,optimization_relative_gain_percent,trial_state
1.24,59,1.114469053336855,140.82134229865838,0.20257547925870423,COMPLETE
1.24,60,1.0779148188747618,162.72683945296728,0.07751762087939706,COMPLETE
1.24,61,1.1159079174953057,137.16870522007227,0.2074266624439991,COMPLETE
1.24,62,1.1227351579252658,125.34724010268404,0.20561867648103416,COMPLETE
1.24,63,1.1353309043001447,133.96209624379182,0.17863567603282338,COMPLETE
1.24,64,1.104838339306284,114.755528567709,0.18180133306602286,COMPLETE
1.24,65,1.1523908496504895,102.04418790687026,0.06410746520721933,COMPLETE
1.24,66,1.0857688544662303,144.05772773610715,0.1527069009099824,COMPLETE
1.24,67,1.1701911187099283,153.069617494135,-0.03830292119282319,COMPLETE
1.24,68,1.1264634916743996,128.85822621854444,0.20162343589564813,COMPLETE
1.24,69,1.140746507176608,120.48335840441479,0.16146743629217308,COMPLETE
1.24,70,1.0975125216376227,136.62323971206743,0.19377054698708207,COMPLETE
1.24,71,1.1153616048968724,137.33330695836713,0.2074557499030627,COMPLETE
1.24,72,1.107629877953153,145.20645451902635,0.19350253686680752,COMPLETE
1.24,73,1.1181319134596928,158.3965836296785,0.1506765914976782,COMPLETE
