wavelength_nm,solar_irradiance_w_m2_nm,existing_ar_reflectance_tmm,existing_ar_transmittance_tmm,existing_ar_reflectance_meep,existing_ar_transmittance_meep,stacked_retrofit_reflectance_tmm,stacked_retrofit_transmittance_tmm,stacked_minus_existing_transmittance
381.0,0.76383,0.012633057076766773,0.9873669429232332,0.012602862421465383,0.9874104066947528,0.0023570630709858166,0.9976429369290142,0.010275994005780942
382.0,0.58678,0.01242898482562732,0.9875710151743726,0.012400746675074176,0.9876119619179299,0.0025394962002841335,0.9974605037997158,0.009889488625343223
383.0,0.45499,0.012227118851640281,0.9877728811483597,0.012198724911267595,0.987813427499816,0.002728487571539815,0.9972715124284602,0.009498631280100533
384.0,0.50968,0.012027458689966505,0.9879725413100335,0.012001026346353824,0.9880107695823149,0.0029237915103203487,0.9970762084896797,0.009103667179646169
385.0,0.67355,0.01183000332615971,0.9881699966738403,0.01180332778144005,0.9882081116648138,0.0031251645499867733,0.9968748354500132,0.008704838776172896
386.0,0.621,0.011634751213206286,0.9883652487867937,0.011610193817824008,0.988399086067456,0.003332365581396023,0.996667634418604,0.008302385631810294
387.0,0.65147,0.011441700288196075,0.988558299711804,0.011417185255342518,0.9885898855338384,0.00354515599311521,0.9964548440068848,0.007896544295080798
388.0,0.63582,0.011250847988630278,0.9887491520113697,0.011228275392084902,0.9887760668813289,0.003763299802419652,0.9962367001975804,0.0074875481862106685
389.0,0.68543,0.011062191268372126,0.9889378087316278,0.011039804675172703,0.9889617534303667,0.0039865637773494255,0.9960134362226506,0.007075627491022751
390.0,0.79699,0.010875726613245271,0.9891242733867547,0.010854902449867566,0.9891458142251187,0.004214717550098496,0.9957852824499015,0.006661009063146817
391.0,0.85138,0.0106914500562865,0.9893085499437135,0.01067083287260408,0.989329495677204,0.004447533722011997,0.995552466277988,0.0062439163342744575
392.0,0.79493,0.010509357192657482,0.9894906428073426,0.01048998129444642,0.9895108795064275,0.004684787960465928,0.9953152120395341,0.005824569232191545
393.0,0.47975,0.010329443194221657,0.9896705568057783,0.010310537590897556,0.9896912581256491,0.0049262590879034255,0.9950737409120965,0.005403184106318237
394.0,0.49567,0.010151702823791508,0.9898482971762085,0.010133730684005048,0.9898685240667701,0.005171729163299414,0.9948282708367006,0.004979973660492076
395.0,0.80772,0.009976130449051665,0.9900238695509483,0.009959017703869054,0.9900433181752817,0.005420983556324144,0.9945790164436759,0.004555146892727513
396.0,0.75655,0.009802720056163663,0.9901972799438363,0.009786115831881773,0.9902162738417146,0.005673811014473119,0.9943261889855268,0.004128909041690498
397.0,0.42619,0.009631465263057451,0.9903685347369425,0.009615980930677254,0.9903864207771943,0.005930003723428657,0.9940699962765713,0.003701461539628803
398.0,0.85249,0.009462359332414988,0.990537640667585,0.009446812654565685,0.9905556909322044,0.006189357360914311,0.9938106426390857,0.003273001971500711
399.0,1.0693,0.009295395184351674,0.9907046048156484,0.009281281941303907,0.9907216616238693,0.00645167114430047,0.9935483288556995,0.0028437240400511765
400.0,1.1141,0.00913056540880035,0.9908694345911997,0.009115751228042127,0.9908876323155341,0.006716747872214971,0.993283252127785,0.0024138175365853165
401.0,1.1603,0.008967862277603905,0.9910321377223961,0.008954992849809914,0.9910478831955507,0.006984393960408723,0.9930156060395913,0.0019834683171952028
402.0,1.2061,0.008807277756320609,0.9911927222436794,0.0087942344715777,0.9912081340755673,0.007254419472121727,0.9927455805278783,0.0015528582841989325
403.0,1.1613,0.008648803515748532,0.9913511964842515,0.008637093360725448,0.9913641349911896,0.007526638143190004,0.99247336185681,0.0011221653725584924
