existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,1e-05,100.0,1.25,50.0,836.08151675,823.7195532370972,831.3895200792855,7.669966842188273,98.52144040201297,99.43881109955005,0.917370697537104,0.931138129724665,0.01660512110262213,0.0019860648477398753,True,True,0.0
1.25,80.0,1.08,1e-05,100.0,1.25,75.0,836.08151675,823.7195532370972,828.904595810928,5.185042573830742,98.52144040201297,99.1416003349805,0.6201599329675341,0.6294669773777112,0.01624054459197427,0.0019424594691560943,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.15,30.0,836.08151675,823.7195532370972,831.3403864350311,7.620833197933848,98.52144040201297,99.43293444239761,0.9114940403846511,0.9251732786948045,0.019649884726685975,0.0023502355132868657,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.15,50.0,836.08151675,823.7195532370972,831.4309011130144,7.711347875917227,98.52144040201297,99.44376050136076,0.922320099347804,0.9361618096368793,0.01944651392595218,0.0023259112342949883,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.15,75.0,836.08151675,823.7195532370972,830.9551691376781,7.23561590058091,98.52144040201297,99.38686031091217,0.8654199088992013,0.8784076901107907,0.019086496266612712,0.0022828511196857186,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.2,30.0,836.08151675,823.7195532370972,832.1116745103463,8.392121273249131,98.52144040201297,99.52518478639676,1.0037443843838127,1.0188080688711738,0.019270275261579872,0.0023048321097309883,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.2,50.0,836.08151675,823.7195532370972,832.0994871198732,8.379933882775958,98.52144040201297,99.52372710670538,1.0022867046924175,1.017328513065405,0.0189192090086914,0.0022628426331243135,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.2,75.0,836.08151675,823.7195532370972,831.0613273785007,7.341774141403448,98.52144040201297,99.3995574270062,0.8781170249932388,0.8912953580561916,0.01853480272396461,0.002216865503260105,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.25,30.0,836.08151675,823.7195532370972,832.4553130115937,8.7357597744965,98.52144040201297,99.56628586259124,1.0448454605782913,1.0605259690833178,0.018893109214577736,0.002259720952571547,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.25,50.0,836.08151675,823.7195532370972,831.6785369995994,7.958983762502157,98.52144040201297,99.47337913083932,0.9519387288263669,0.9662249404211077,0.018424245574505817,0.002203642253224804,True,True,0.0
1.25,80.0,1.08,1e-05,110.0,1.25,75.0,836.08151675,823.7195532370972,829.2614107157787,5.541857478681436,98.52144040201297,99.18427738233798,0.6628369803250331,0.6727845001254065,0.018067035873532984,0.002160917986055094,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.15,30.0,836.08151675,823.7195532370972,831.2171966465737,7.497643409476495,98.52144040201297,99.41820025847063,0.8967598564576802,0.9102179716399659,0.02086831693909108,0.002495966783264149,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.15,50.0,836.08151675,823.7195532370972,831.3002734203596,7.580720183262429,98.52144040201297,99.42813670271937,0.9066963007064262,0.9203035369831041,0.02064308668901224,0.0024690279925402075,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.15,75.0,836.08151675,823.7195532370972,830.8528895669489,7.133336329851659,98.52144040201297,99.37462710533589,0.853186703322928,0.8659908948159227,0.02026174992170782,0.0024234179940335132,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.2,30.0,836.08151675,823.7195532370972,832.0805727513455,8.361019514248255,98.52144040201297,99.5214648430207,1.0000244410077441,1.0150322984795823,0.020493760958136077,0.0024511678045221036,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.2,50.0,836.08151675,823.7195532370972,832.0947019830835,8.37514874598628,98.52144040201297,99.52315477772862,1.0017143757156595,1.016747594866866,0.020131370780226605,0.0024078239234950295,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.2,75.0,836.08151675,823.7195532370972,831.0926616296886,7.373108392591348,98.52144040201297,99.40330517774103,0.8818647757280837,0.8950993531252368,0.01973855451652923,0.0023608409133665056,True,True,0.0
1.25,80.0,1.08,1e-05,116.736,1.25,30.0,836.08151675,823.7195532370972,832.5183025176875,8.7987492805903,98.52144040201297,99.57381975789116,1.052379355878196,1.068172929246672,0.020123204838079264,0.0024068472313921972,True,True,0.0
